"Notice publication number","Publication date",Title,"Official name","Type of procedure","The contract is awarded within a framework agreement","Identifier of the contract",Title,"Lot technical ID","Number of tenders or requests to participate received","Contractor awarded","Value of the tender","Value of the lowest admissible tender","Value of the highest admissible tender",Currency
598904-2025,"15/09/2025 (UTC+02)","Belgium, Luxembourg, France, Spain, Greece, Hungary, Slovakia, Portugal, Netherlands, Italy, Malta, Slovenia, Germany – Training services – Language training for the Institutions, Bodies and Agencies of the European Union","European Commission, DG HR - Human Resources and Security, Court of Justice of the European Union, EP - European Parliament, European Court of Auditors, European External Action Service (EEAS), OMBUDSMAN - European Ombudsman, The General Secretariat of the Council of the European Union, Agence Exécutive du Conseil Européen de la Recherche, European Education and Culture Executive Agency (EACEA), European Innovation Council and SMEs Executive Agency (EISMEA), European Research Executive Agency (REA), Health and Digital Executive Agency (HaDEA), AMLA - Authority for Anti-Money Laundering and Countering the Financing of Terrorism, Chips Joint Undertaking, Circular Bio-based Europe Joint Undertaking, Europe's Rail Joint Undertaking, European Agency for Safety and Health at Work (EU-OSHA), European Banking Authority, European Centre for the Development of Vocational Training, European Defence Agency, European Fisheries Control Agency (EFCA), European High-Performance Computing Joint Undertaking, European Institute of Innovation and Technology, European Labour Authority (ELA), European Maritime Safety Agency, European Medicines Agency, European Public Prosecutor’s Office, European Securities and Markets Authority, European Training Foundation (ETF), European Union Agency for Asylum, European Union Agency for Law Enforcement Cooperation, European Union Agency for the Cooperation of Energy Regulators, European Union Aviation Safety Agency, European Union Drugs Agency, F4E - Fusion for Energy Joint Undertaking, Innovative Health Initiative Joint Undertaking (IHI JU), SESAR3 Joint Undertaking, SNS JU - Smart Networks and Services Joint Undertaking, Single Resolution Board (SRB), Translation Centre for the Bodies of the European Union, Committee of the Regions of the European Union, European Economic and Social Committee, ESM - European Stability Mechanism",Open,,"EC-HR/2024/OP/0111-Lot 3","Contract Lot 12",LOT-0003,,"INSTITUTO CERVANTES",," "," ",
598904-2025,"15/09/2025 (UTC+02)","Belgium, Luxembourg, France, Spain, Greece, Hungary, Slovakia, Portugal, Netherlands, Italy, Malta, Slovenia, Germany – Training services – Language training for the Institutions, Bodies and Agencies of the European Union","European Commission, DG HR - Human Resources and Security, Court of Justice of the European Union, EP - European Parliament, European Court of Auditors, European External Action Service (EEAS), OMBUDSMAN - European Ombudsman, The General Secretariat of the Council of the European Union, Agence Exécutive du Conseil Européen de la Recherche, European Education and Culture Executive Agency (EACEA), European Innovation Council and SMEs Executive Agency (EISMEA), European Research Executive Agency (REA), Health and Digital Executive Agency (HaDEA), AMLA - Authority for Anti-Money Laundering and Countering the Financing of Terrorism, Chips Joint Undertaking, Circular Bio-based Europe Joint Undertaking, Europe's Rail Joint Undertaking, European Agency for Safety and Health at Work (EU-OSHA), European Banking Authority, European Centre for the Development of Vocational Training, European Defence Agency, European Fisheries Control Agency (EFCA), European High-Performance Computing Joint Undertaking, European Institute of Innovation and Technology, European Labour Authority (ELA), European Maritime Safety Agency, European Medicines Agency, European Public Prosecutor’s Office, European Securities and Markets Authority, European Training Foundation (ETF), European Union Agency for Asylum, European Union Agency for Law Enforcement Cooperation, European Union Agency for the Cooperation of Energy Regulators, European Union Aviation Safety Agency, European Union Drugs Agency, F4E - Fusion for Energy Joint Undertaking, Innovative Health Initiative Joint Undertaking (IHI JU), SESAR3 Joint Undertaking, SNS JU - Smart Networks and Services Joint Undertaking, Single Resolution Board (SRB), Translation Centre for the Bodies of the European Union, Committee of the Regions of the European Union, European Economic and Social Committee, ESM - European Stability Mechanism",Open,,"EC-HR/2024/OP/0111-Lot 4","Contract Lot 12",LOT-0004,,"CLL Centres de Langues---ALLINGUA ASBL",," "," ",
598904-2025,"15/09/2025 (UTC+02)","Belgium, Luxembourg, France, Spain, Greece, Hungary, Slovakia, Portugal, Netherlands, Italy, Malta, Slovenia, Germany – Training services – Language training for the Institutions, Bodies and Agencies of the European Union","European Commission, DG HR - Human Resources and Security, Court of Justice of the European Union, EP - European Parliament, European Court of Auditors, European External Action Service (EEAS), OMBUDSMAN - European Ombudsman, The General Secretariat of the Council of the European Union, Agence Exécutive du Conseil Européen de la Recherche, European Education and Culture Executive Agency (EACEA), European Innovation Council and SMEs Executive Agency (EISMEA), European Research Executive Agency (REA), Health and Digital Executive Agency (HaDEA), AMLA - Authority for Anti-Money Laundering and Countering the Financing of Terrorism, Chips Joint Undertaking, Circular Bio-based Europe Joint Undertaking, Europe's Rail Joint Undertaking, European Agency for Safety and Health at Work (EU-OSHA), European Banking Authority, European Centre for the Development of Vocational Training, European Defence Agency, European Fisheries Control Agency (EFCA), European High-Performance Computing Joint Undertaking, European Institute of Innovation and Technology, European Labour Authority (ELA), European Maritime Safety Agency, European Medicines Agency, European Public Prosecutor’s Office, European Securities and Markets Authority, European Training Foundation (ETF), European Union Agency for Asylum, European Union Agency for Law Enforcement Cooperation, European Union Agency for the Cooperation of Energy Regulators, European Union Aviation Safety Agency, European Union Drugs Agency, F4E - Fusion for Energy Joint Undertaking, Innovative Health Initiative Joint Undertaking (IHI JU), SESAR3 Joint Undertaking, SNS JU - Smart Networks and Services Joint Undertaking, Single Resolution Board (SRB), Translation Centre for the Bodies of the European Union, Committee of the Regions of the European Union, European Economic and Social Committee, ESM - European Stability Mechanism",Open,,"EC-HR/2024/OP/0111-Lot 4","Contract Lot 12",LOT-0004,,"Language Services Direct EEOD---LANGUAGE SERVICES DIRECT LIMITED",," "," ",
598904-2025,"15/09/2025 (UTC+02)","Belgium, Luxembourg, France, Spain, Greece, Hungary, Slovakia, Portugal, Netherlands, Italy, Malta, Slovenia, Germany – Training services – Language training for the Institutions, Bodies and Agencies of the European Union","European Commission, DG HR - Human Resources and Security, Court of Justice of the European Union, EP - European Parliament, European Court of Auditors, European External Action Service (EEAS), OMBUDSMAN - European Ombudsman, The General Secretariat of the Council of the European Union, Agence Exécutive du Conseil Européen de la Recherche, European Education and Culture Executive Agency (EACEA), European Innovation Council and SMEs Executive Agency (EISMEA), European Research Executive Agency (REA), Health and Digital Executive Agency (HaDEA), AMLA - Authority for Anti-Money Laundering and Countering the Financing of Terrorism, Chips Joint Undertaking, Circular Bio-based Europe Joint Undertaking, Europe's Rail Joint Undertaking, European Agency for Safety and Health at Work (EU-OSHA), European Banking Authority, European Centre for the Development of Vocational Training, European Defence Agency, European Fisheries Control Agency (EFCA), European High-Performance Computing Joint Undertaking, European Institute of Innovation and Technology, European Labour Authority (ELA), European Maritime Safety Agency, European Medicines Agency, European Public Prosecutor’s Office, European Securities and Markets Authority, European Training Foundation (ETF), European Union Agency for Asylum, European Union Agency for Law Enforcement Cooperation, European Union Agency for the Cooperation of Energy Regulators, European Union Aviation Safety Agency, European Union Drugs Agency, F4E - Fusion for Energy Joint Undertaking, Innovative Health Initiative Joint Undertaking (IHI JU), SESAR3 Joint Undertaking, SNS JU - Smart Networks and Services Joint Undertaking, Single Resolution Board (SRB), Translation Centre for the Bodies of the European Union, Committee of the Regions of the European Union, European Economic and Social Committee, ESM - European Stability Mechanism",Open,,"EC-HR/2024/OP/0111-Lot 5","Contract Lot 12",LOT-0005,,"CLL Centres de Langues---ALLINGUA ASBL",," "," ",
598904-2025,"15/09/2025 (UTC+02)","Belgium, Luxembourg, France, Spain, Greece, Hungary, Slovakia, Portugal, Netherlands, Italy, Malta, Slovenia, Germany – Training services – Language training for the Institutions, Bodies and Agencies of the European Union","European Commission, DG HR - Human Resources and Security, Court of Justice of the European Union, EP - European Parliament, European Court of Auditors, European External Action Service (EEAS), OMBUDSMAN - European Ombudsman, The General Secretariat of the Council of the European Union, Agence Exécutive du Conseil Européen de la Recherche, European Education and Culture Executive Agency (EACEA), European Innovation Council and SMEs Executive Agency (EISMEA), European Research Executive Agency (REA), Health and Digital Executive Agency (HaDEA), AMLA - Authority for Anti-Money Laundering and Countering the Financing of Terrorism, Chips Joint Undertaking, Circular Bio-based Europe Joint Undertaking, Europe's Rail Joint Undertaking, European Agency for Safety and Health at Work (EU-OSHA), European Banking Authority, European Centre for the Development of Vocational Training, European Defence Agency, European Fisheries Control Agency (EFCA), European High-Performance Computing Joint Undertaking, European Institute of Innovation and Technology, European Labour Authority (ELA), European Maritime Safety Agency, European Medicines Agency, European Public Prosecutor’s Office, European Securities and Markets Authority, European Training Foundation (ETF), European Union Agency for Asylum, European Union Agency for Law Enforcement Cooperation, European Union Agency for the Cooperation of Energy Regulators, European Union Aviation Safety Agency, European Union Drugs Agency, F4E - Fusion for Energy Joint Undertaking, Innovative Health Initiative Joint Undertaking (IHI JU), SESAR3 Joint Undertaking, SNS JU - Smart Networks and Services Joint Undertaking, Single Resolution Board (SRB), Translation Centre for the Bodies of the European Union, Committee of the Regions of the European Union, European Economic and Social Committee, ESM - European Stability Mechanism",Open,,"EC-HR/2024/OP/0111-Lot 5","Contract Lot 12",LOT-0005,,"Language Services Direct EEOD---LANGUAGE SERVICES DIRECT LIMITED",," "," ",
598904-2025,"15/09/2025 (UTC+02)","Belgium, Luxembourg, France, Spain, Greece, Hungary, Slovakia, Portugal, Netherlands, Italy, Malta, Slovenia, Germany – Training services – Language training for the Institutions, Bodies and Agencies of the European Union","European Commission, DG HR - Human Resources and Security, Court of Justice of the European Union, EP - European Parliament, European Court of Auditors, European External Action Service (EEAS), OMBUDSMAN - European Ombudsman, The General Secretariat of the Council of the European Union, Agence Exécutive du Conseil Européen de la Recherche, European Education and Culture Executive Agency (EACEA), European Innovation Council and SMEs Executive Agency (EISMEA), European Research Executive Agency (REA), Health and Digital Executive Agency (HaDEA), AMLA - Authority for Anti-Money Laundering and Countering the Financing of Terrorism, Chips Joint Undertaking, Circular Bio-based Europe Joint Undertaking, Europe's Rail Joint Undertaking, European Agency for Safety and Health at Work (EU-OSHA), European Banking Authority, European Centre for the Development of Vocational Training, European Defence Agency, European Fisheries Control Agency (EFCA), European High-Performance Computing Joint Undertaking, European Institute of Innovation and Technology, European Labour Authority (ELA), European Maritime Safety Agency, European Medicines Agency, European Public Prosecutor’s Office, European Securities and Markets Authority, European Training Foundation (ETF), European Union Agency for Asylum, European Union Agency for Law Enforcement Cooperation, European Union Agency for the Cooperation of Energy Regulators, European Union Aviation Safety Agency, European Union Drugs Agency, F4E - Fusion for Energy Joint Undertaking, Innovative Health Initiative Joint Undertaking (IHI JU), SESAR3 Joint Undertaking, SNS JU - Smart Networks and Services Joint Undertaking, Single Resolution Board (SRB), Translation Centre for the Bodies of the European Union, Committee of the Regions of the European Union, European Economic and Social Committee, ESM - European Stability Mechanism",Open,,"EC-HR/2024/OP/0111-Lot 7","Contract Lot 12",LOT-0007,,"Language Services Direct EEOD---LANGUAGE SERVICES DIRECT LIMITED",," "," ",
598904-2025,"15/09/2025 (UTC+02)","Belgium, Luxembourg, France, Spain, Greece, Hungary, Slovakia, Portugal, Netherlands, Italy, Malta, Slovenia, Germany – Training services – Language training for the Institutions, Bodies and Agencies of the European Union","European Commission, DG HR - Human Resources and Security, Court of Justice of the European Union, EP - European Parliament, European Court of Auditors, European External Action Service (EEAS), OMBUDSMAN - European Ombudsman, The General Secretariat of the Council of the European Union, Agence Exécutive du Conseil Européen de la Recherche, European Education and Culture Executive Agency (EACEA), European Innovation Council and SMEs Executive Agency (EISMEA), European Research Executive Agency (REA), Health and Digital Executive Agency (HaDEA), AMLA - Authority for Anti-Money Laundering and Countering the Financing of Terrorism, Chips Joint Undertaking, Circular Bio-based Europe Joint Undertaking, Europe's Rail Joint Undertaking, European Agency for Safety and Health at Work (EU-OSHA), European Banking Authority, European Centre for the Development of Vocational Training, European Defence Agency, European Fisheries Control Agency (EFCA), European High-Performance Computing Joint Undertaking, European Institute of Innovation and Technology, European Labour Authority (ELA), European Maritime Safety Agency, European Medicines Agency, European Public Prosecutor’s Office, European Securities and Markets Authority, European Training Foundation (ETF), European Union Agency for Asylum, European Union Agency for Law Enforcement Cooperation, European Union Agency for the Cooperation of Energy Regulators, European Union Aviation Safety Agency, European Union Drugs Agency, F4E - Fusion for Energy Joint Undertaking, Innovative Health Initiative Joint Undertaking (IHI JU), SESAR3 Joint Undertaking, SNS JU - Smart Networks and Services Joint Undertaking, Single Resolution Board (SRB), Translation Centre for the Bodies of the European Union, Committee of the Regions of the European Union, European Economic and Social Committee, ESM - European Stability Mechanism",Open,,"EC-HR/2024/OP/0111-Lot 7","Contract Lot 12",LOT-0007,,"CLL Centres de Langues---ALLINGUA ASBL",," "," ",
598904-2025,"15/09/2025 (UTC+02)","Belgium, Luxembourg, France, Spain, Greece, Hungary, Slovakia, Portugal, Netherlands, Italy, Malta, Slovenia, Germany – Training services – Language training for the Institutions, Bodies and Agencies of the European Union","European Commission, DG HR - Human Resources and Security, Court of Justice of the European Union, EP - European Parliament, European Court of Auditors, European External Action Service (EEAS), OMBUDSMAN - European Ombudsman, The General Secretariat of the Council of the European Union, Agence Exécutive du Conseil Européen de la Recherche, European Education and Culture Executive Agency (EACEA), European Innovation Council and SMEs Executive Agency (EISMEA), European Research Executive Agency (REA), Health and Digital Executive Agency (HaDEA), AMLA - Authority for Anti-Money Laundering and Countering the Financing of Terrorism, Chips Joint Undertaking, Circular Bio-based Europe Joint Undertaking, Europe's Rail Joint Undertaking, European Agency for Safety and Health at Work (EU-OSHA), European Banking Authority, European Centre for the Development of Vocational Training, European Defence Agency, European Fisheries Control Agency (EFCA), European High-Performance Computing Joint Undertaking, European Institute of Innovation and Technology, European Labour Authority (ELA), European Maritime Safety Agency, European Medicines Agency, European Public Prosecutor’s Office, European Securities and Markets Authority, European Training Foundation (ETF), European Union Agency for Asylum, European Union Agency for Law Enforcement Cooperation, European Union Agency for the Cooperation of Energy Regulators, European Union Aviation Safety Agency, European Union Drugs Agency, F4E - Fusion for Energy Joint Undertaking, Innovative Health Initiative Joint Undertaking (IHI JU), SESAR3 Joint Undertaking, SNS JU - Smart Networks and Services Joint Undertaking, Single Resolution Board (SRB), Translation Centre for the Bodies of the European Union, Committee of the Regions of the European Union, European Economic and Social Committee, ESM - European Stability Mechanism",Open,,"EC-HR/2024/OP/0111-Lot 8","Contract Lot 12",LOT-0008,,"Language Services Direct EEOD---LANGUAGE SERVICES DIRECT LIMITED",," "," ",
598904-2025,"15/09/2025 (UTC+02)","Belgium, Luxembourg, France, Spain, Greece, Hungary, Slovakia, Portugal, Netherlands, Italy, Malta, Slovenia, Germany – Training services – Language training for the Institutions, Bodies and Agencies of the European Union","European Commission, DG HR - Human Resources and Security, Court of Justice of the European Union, EP - European Parliament, European Court of Auditors, European External Action Service (EEAS), OMBUDSMAN - European Ombudsman, The General Secretariat of the Council of the European Union, Agence Exécutive du Conseil Européen de la Recherche, European Education and Culture Executive Agency (EACEA), European Innovation Council and SMEs Executive Agency (EISMEA), European Research Executive Agency (REA), Health and Digital Executive Agency (HaDEA), AMLA - Authority for Anti-Money Laundering and Countering the Financing of Terrorism, Chips Joint Undertaking, Circular Bio-based Europe Joint Undertaking, Europe's Rail Joint Undertaking, European Agency for Safety and Health at Work (EU-OSHA), European Banking Authority, European Centre for the Development of Vocational Training, European Defence Agency, European Fisheries Control Agency (EFCA), European High-Performance Computing Joint Undertaking, European Institute of Innovation and Technology, European Labour Authority (ELA), European Maritime Safety Agency, European Medicines Agency, European Public Prosecutor’s Office, European Securities and Markets Authority, European Training Foundation (ETF), European Union Agency for Asylum, European Union Agency for Law Enforcement Cooperation, European Union Agency for the Cooperation of Energy Regulators, European Union Aviation Safety Agency, European Union Drugs Agency, F4E - Fusion for Energy Joint Undertaking, Innovative Health Initiative Joint Undertaking (IHI JU), SESAR3 Joint Undertaking, SNS JU - Smart Networks and Services Joint Undertaking, Single Resolution Board (SRB), Translation Centre for the Bodies of the European Union, Committee of the Regions of the European Union, European Economic and Social Committee, ESM - European Stability Mechanism",Open,,"EC-HR/2024/OP/0111-Lot 8","Contract Lot 12",LOT-0008,,"CLL Centres de Langues---ALLINGUA ASBL",," "," ",
600055-2025,"15/09/2025 (UTC+02)","Netherlands – Repair and maintenance services – NL-Petten: The maintenance of the roofs of the buildings of JRC Petten including related installations","European Commission, DG JRC - Joint Research Centre",Open,,CCR.499,,LOT-0001,,"SCHADENBERG DAKWERKEN BV",," "," ",
601228-2025,"15/09/2025 (UTC+02)","Italy – Hire of passenger transport vehicles with driver – PROCEDURA APERTA PER L’APPALTO DEL SERVIZIO DI TRASPORTO SCOLASTICO ANNI SCOLASTICI 2025/2026, 2026/2027, 2027/2028","COMUNE DI VINOVO",Open,,01504430016-26/06/2025,,LOT-0001,,"A.A.T. Azienda Autonoleggio Torino Consorzio Stabile Soc. Cooperativa","2,89",,,EUR
603164-2025,"16/09/2025 (UTC+02)","Belgium – Construction consultancy services – Technical secretariat for the High Level Construction Forum","European Commission, DG GROW - Internal Market, Industry, Entrepreneurship and SMEs",Open,,300134309,,LOT-0001,,"ECORYS EUROPE EEIG - GEIE","383 840,00",,,EUR
607656-2025,"17/09/2025 (UTC+02)","Germany – Surveillance system – Durchführung von Hard – Software Upgrade GVMS Siemens Topsis im JRC Karlsruhe","Europäische Kommission, Gemeinsame Forschungsstelle (JRC)","Negotiated without prior call for competition",,300117989,,LOT-0001,,"Siemens AG","273 902,98",,,EUR
608380-2025,"17/09/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – Competition PROSERV-0008-Digital Transformation and Public Procurement Expert","European Commission, DG DIGIT - Digital Services","Other multiple stage procedure",,,,LOT-0001,,"Not Awarded",," "," ",
608968-2025,"18/09/2025 (UTC+02)","Bosnia and Herzegovina, Belgium – Cleaning services – Cleaning and ancillary services for the Delegation of the European Union to Bosnia and Herzegovina and the European Union Special Representative in Bosnia and Herzegovina","European External Action Service (EEAS), European Commission, FPI - Service for Foreign Policy Instruments",Restricted,,"EEAS/DELBIHS/2024/RP/0265-2025",,LOT-0001,,"Majordomo d.o.o.",," "," ",
609222-2025,"18/09/2025 (UTC+02)","France – Advertising and marketing services – CAMPAGNE D’INFLUENCE SUR LES RESEAUX SOCIAUX","Commission européenne, DG COMM - Communication",Open,,"Influencers - COMM-PAR-2024-OP-0663",,LOT-0001,,"BEINFLUENCE FRANCE",," "," ",
613233-2025,"19/09/2025 (UTC+02)","Belgium – Training seminars – Trade and Private sector development Facility III","European Commission, INTPA - International Partnerships",Restricted,,"NDICI CHALLENGE/2025/486-987",,LOT-0001,,"DAI GLOBAL BELGIUM---DAI GLOBAL AUSTRIA GMBH & CO KG---DEUTSCHE GESELLSCHAFT FUR INTERNATIONALE ZUSAMMENARBEIT (GIZ) GMBH","9 994 500,00",,,EUR
615583-2025,"19/09/2025 (UTC+02)","Belgium – Research and experimental development services – Evolution of Galileo SAR-RLS beacons for maritime environment","European Commission, DG DEFIS - Defence Industry and Space",Open,,,,LOT-0001,,"Not Awarded",," "," ",
619070-2025,"22/09/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – COMPETITION PROSERV-0017-DIGIT C1 Cloud Policy, Procurement and Adoption Strategist","European Commission, DG DIGIT - Digital Services","Other multiple stage procedure",,T166433,,LOT-0001,,"ARHS DEVELOPMENTS SA","1 778,00",,,EUR
620089-2025,"23/09/2025 (UTC+02)","Germany – Security services – Durchführung von Objektsicherungsaufgaben im JRC Karlsruhe","Europäische Kommission, Gemeinsame Forschungsstelle (JRC)",Restricted,,"300128320-2025-09 KAR DE",,LOT-0001,,"OSD SCHAFER GMBH & CO KG","3 007 473,50",,,EUR
622382-2025,"23/09/2025 (UTC+02)","Belgium – Provision of services to the community – Operation of the Europe Direct Contact Centre","European Commission, DG COMM - Communication",Open,,EC-COMM/2024/OP/0830,,LOT-0001,,"EUROPEAN SERVICE NETWORK SA---CONECTYS SERV TELECOM SRL",," "," ",
623211-2025,"24/09/2025 (UTC+02)","Belgium – Electricity, heating, solar and nuclear energy – Fourniture d'énergie électrique verte haute tension et basse tension pour les bâtiments de la Commission européenne (Lot A) et du Parlement européen (Lot B) situés en Région de Bruxelles-Capitale et en Région flamande","European Parliament, INLO - Directorate-General for Infrastructure and Logistics, Commission européenne, OIB - Office for Infrastructure and Logistics in Brussels",Open,,"CNT(2025)136",,LOT-0002,,Luminus,"11 392 804,45",,,EUR
625564-2025,"24/09/2025 (UTC+02)","Italy – Refuse recycling services – Sale of metal waste produced at JRC, Ispra Site (VA) and on its premises","Commissione europea, Centro comune di ricerca (JRC)",Open,,CCR.490,,LOT-0001,,"Metalferro srl",," "," ",
625564-2025,"24/09/2025 (UTC+02)","Italy – Refuse recycling services – Sale of metal waste produced at JRC, Ispra Site (VA) and on its premises","Commissione europea, Centro comune di ricerca (JRC)",Open,,CCR.489,"Sale of metal waste produced at JRC, Ispra Site (VA) and on its premises",LOT-0001,,"Rottami metalli Italia s.r.l.",," "," ",
626898-2025,"25/09/2025 (UTC+02)","Ethiopia – Research and development services and related consultancy services – Technical Assistance for enhancing economic transformation in conflict and migration prone regions of Ethiopia","European Commission, INTPA - International Partnerships",Restricted,,"Ares(2025)6092202",,LOT-0001,,"DAI GLOBAL BELGIUM---Danish Refugee Council","3 497 500,00",,,EUR
627092-2025,"25/09/2025 (UTC+02)","Belgium – Research and development services and related consultancy services – Measures to support the implementation of the EU Chips Act Pillar III","European Commission, DG CNECT - Communications Networks, Content and Technology",Open,,300129432,,LOT-0001,,"DECISION SARL---YOLE DEVELOPPEMENT SA","1 497 500,00",,,EUR
632120-2025,"26/09/2025 (UTC+02)","Italy – Resins – Supply of resins and accessories for the Laboratory for Radioactivity Measurements.","European Commission, DG JRC - Joint Research Centre","Negotiated without prior call for competition",,XXX,,LOT-0001,,"TrisKem International SAS",," "," ",
635205-2025,"29/09/2025 (UTC+02)","Belgium – Nuclear safety services – Strengthening Egyptian nuclear safety and radioprotection regulatory infrastructure","European Commission, INTPA - International Partnerships",Restricted,,INSC/2025/487-219,,LOT-0001,,"NTU INTERNATIONAL AS---STUDIECENTRUM VOOR KERNENERGIE / CENTRE D'ETUDE DE L'ENERGIE NUCLEAIRE---NINE NUCLEAR AND INDUSTRIAL ENGINEERING SRL","2 158 000,00",,,EUR
637639-2025,"30/09/2025 (UTC+02)","Belgium – Research and development services and related consultancy services – Technical support (including on ‘evaluations’) to manage the Support Measures (Technical Assistance Component) for the Multiannual Indicative Programme for Sub-Saharan Africa (SSA MIP)","European Commission, INTPA - International Partnerships",Restricted,,"NDICI AFRICA/2025/487-252",,LOT-0001,,"NIRAS AS---PARTICIP GMBH","14 845 200,00",,,EUR
640445-2025,"01/10/2025 (UTC+02)","Italy – Electric vehicles – Fornitura di n. 6 veicoli, di cui tre (3) veicoli elettrici N1 e tre (3) veicoli ibridi (2 Lotti).","Commissione europea, Centro comune di ricerca (JRC)",Open,,,,LOT-0002,,"Not Awarded",," "," ",
642898-2025,"01/10/2025 (UTC+02)","Italy – Electric vehicles – Fornitura di n. 6 veicoli, di cui tre (3) veicoli elettrici N1 e tre (3) veicoli ibridi (2 Lotti).","Commissione europea, Centro comune di ricerca (JRC)",Open,,801003160,,LOT-0001,,"Borgo Agnello spa","83 550,00",,,EUR
645447-2025,"02/10/2025 (UTC+02)","Montenegro – Digital cadastral maps – Supply of Aerial Images, Digital Ortho-photo maps and Digital Terrain Model, vehicles and on-the-spot control equipment for the IPARD Agency in Montenegro","European Commission, ENEST - Enlargement and Eastern Neighbourhood",Open,,,,LOT-0002,,"Not Awarded",," "," ",
645607-2025,"02/10/2025 (UTC+02)","Montenegro – Digital cadastral maps – Supply of Aerial Images, Digital Ortho-photo maps and Digital Terrain Model, vehicles and on-the-spot control equipment for the IPARD Agency in Montenegro","European Commission, ENEST - Enlargement and Eastern Neighbourhood",Open,,487-096,,LOT-0001,,"MGGP AERO SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA","197 000,00",,,EUR
646646-2025,"02/10/2025 (UTC+02)","Montenegro – Digital cadastral maps – Supply of Aerial Images, Digital Ortho-photo maps and Digital Terrain Model, vehicles and on-the-spot control equipment for the IPARD Agency in Montenegro","European Commission, ENEST - Enlargement and Eastern Neighbourhood",Open,,487-168,,LOT-0003,,"Coreit doo Podgorica","300 200,43",,,EUR
647020-2025,"03/10/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – Archibus Development, Maintenance, Migration and Consulting Services","European Commission, OIB - Office for Infrastructure and Logistics in Brussels",Open,"no, no",EC-OIB/2024/OP/0078/L1,,LOT-0001,,"Aremis Belgium SA",," "," ",
647020-2025,"03/10/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – Archibus Development, Maintenance, Migration and Consulting Services","European Commission, OIB - Office for Infrastructure and Logistics in Brussels",Open,"no, no",EC-OIB/2024/OP/0078/L1,,LOT-0001,,"ABTIO EMEA SL",," "," ",
647020-2025,"03/10/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – Archibus Development, Maintenance, Migration and Consulting Services","European Commission, OIB - Office for Infrastructure and Logistics in Brussels",Open,"no, no",EC-OIB/2024/OP/0078/L1,,LOT-0001,,"Archibus Solution Centers Germany Saarbrücken GmbH---EFM SpA",," "," ",
647020-2025,"03/10/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – Archibus Development, Maintenance, Migration and Consulting Services","European Commission, OIB - Office for Infrastructure and Logistics in Brussels",Open,"no, no",EC-OIB/2024/OP/0078/L1,,LOT-0001,,"Procos BV",," "," ",
647020-2025,"03/10/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – Archibus Development, Maintenance, Migration and Consulting Services","European Commission, OIB - Office for Infrastructure and Logistics in Brussels",Open,"no, no",EC-OIB/2024/OP/0078/L2,,LOT-0002,,"Aremis Belgium SA",," "," ",
650930-2025,"06/10/2025 (UTC+02)","Italy – Repair and maintenance services – VELA Preventive and Corrective Maintenance 2026-2030","European Commission, DG JRC - Joint Research Centre",Open,,,,LOT-0003,,"Not Awarded",," "," ",
652841-2025,"06/10/2025 (UTC+02)","Belgium – Research and development consultancy services – Administrative management of the Human Resources HR Excellence in Research process","European Commission, DG RTD - Research and Innovation",Open,,FW-00181851,,LOT-0001,,"PPMI Group---NETCOMPANY-INTRASOFT SA",," "," ",
653382-2025,"06/10/2025 (UTC+02)","Czechia, Belgium – Other services – EUSPA-OP-29-24 Integrated Communication Services","European Union Agency for the Space Programme, European Commission, DG DEFIS - Defence Industry and Space",Open,,,,LOT-0001,,"Not Awarded",," "," ",
655215-2025,"07/10/2025 (UTC+02)","Belgium – Technical assistance services – Assistance Technique pour la coordination des deux actions de la mesure individuelle pour l’Afrique de l’Ouest-2025 : Action 1 « Mieux gérer les migrations en Afrique de l'Ouest » et Action 2 “Libérer le potentiel de la jeunesse en Afrique","Commission européenne, INTPA - International Partnerships",Restricted,,,,LOT-0001,,"Not Awarded",," "," ",
656899-2025,"07/10/2025 (UTC+02)","Netherlands, Belgium – Computer equipment and supplies – Miscellaneous IT equipment","European Union Agency for Law Enforcement Cooperation, European Commission, DG JRC - Joint Research Centre",Open,,1491338,,LOT-0001,,"ARICOMA SYSTEMS AS---ARICOMA SYSTEMS",," "," ",
664044-2025,"09/10/2025 (UTC+02)","Belgium – Security, fire-fighting, police and defence equipment – Framework Contract (5 lots) for the supply of medical facilities, vehicles and individual equipment for partner armed forces supported by the European Peace Facility","European Commission, FPI - Service for Foreign Policy Instruments",Open,,"LOT 1-EPF/2025/60-UTILIS",,LOT-0001,,"UTILIS SAS",," "," ",
664044-2025,"09/10/2025 (UTC+02)","Belgium – Security, fire-fighting, police and defence equipment – Framework Contract (5 lots) for the supply of medical facilities, vehicles and individual equipment for partner armed forces supported by the European Peace Facility","European Commission, FPI - Service for Foreign Policy Instruments",Open,,"LOT 1 EPF/2025/60 FINCANTIERI SPA",,LOT-0001,,"FINCANTIERI INFRASTRUTTURE SOCIALI S.P.A.",," "," ",
